,0,1
514,pokemon107,pokemon73
515,pokemon200,pokemon28
516,pokemon187,pokemon84
517,pokemon293,pokemon71
518,pokemon347,pokemon165
519,pokemon239,pokemon121
520,pokemon106,pokemon297
521,pokemon192,pokemon305
522,pokemon253,pokemon52
523,pokemon361,pokemon11
524,pokemon364,pokemon115
525,pokemon66,pokemon44
526,pokemon66,pokemon170
527,pokemon292,pokemon155
528,pokemon199,pokemon177
529,pokemon130,pokemon213
530,pokemon271,pokemon217
531,pokemon36,pokemon239
532,pokemon206,pokemon15
533,pokemon294,pokemon310
534,pokemon44,pokemon365
535,pokemon138,pokemon111
536,pokemon74,pokemon341
537,pokemon205,pokemon29
538,pokemon177,pokemon209
539,pokemon85,pokemon238
540,pokemon24,pokemon348
541,pokemon118,pokemon351
542,pokemon90,pokemon217
543,pokemon24,pokemon40
544,pokemon92,pokemon123
545,pokemon334,pokemon32
546,pokemon93,pokemon26
547,pokemon238,pokemon281
548,pokemon172,pokemon31
549,pokemon36,pokemon148
550,pokemon238,pokemon229
551,pokemon222,pokemon64
552,pokemon273,pokemon113
553,pokemon24,pokemon345
554,pokemon274,pokemon106
555,pokemon166,pokemon134
556,pokemon262,pokemon321
557,pokemon249,pokemon73
558,pokemon48,pokemon135
559,pokemon340,pokemon222
560,pokemon324,pokemon279
561,pokemon327,pokemon6
562,pokemon65,pokemon98
563,pokemon134,pokemon350
564,pokemon275,pokemon273
565,pokemon36,pokemon106
566,pokemon77,pokemon331
567,pokemon56,pokemon179
568,pokemon10,pokemon189
569,pokemon278,pokemon166
570,pokemon163,pokemon277
571,pokemon167,pokemon56
572,pokemon125,pokemon236
573,pokemon21,pokemon239
574,pokemon31,pokemon137
575,pokemon62,pokemon314
576,pokemon192,pokemon182
577,pokemon98,pokemon27
578,pokemon83,pokemon83
579,pokemon320,pokemon114
580,pokemon121,pokemon361
581,pokemon52,pokemon345
582,pokemon153,pokemon137
583,pokemon68,pokemon140
584,pokemon74,pokemon179
585,pokemon16,pokemon236
586,pokemon354,pokemon279
587,pokemon235,pokemon68
588,pokemon160,pokemon18
589,pokemon97,pokemon213
590,pokemon90,pokemon364
591,pokemon341,pokemon137
592,pokemon160,pokemon108
593,pokemon64,pokemon294
594,pokemon14,pokemon165
595,pokemon25,pokemon301
596,pokemon14,pokemon279
597,pokemon5,pokemon49
598,pokemon55,pokemon106
599,pokemon296,pokemon131
600,pokemon194,pokemon283
601,pokemon79,pokemon266
602,pokemon140,pokemon191
603,pokemon90,pokemon198
604,pokemon335,pokemon231
605,pokemon220,pokemon166
606,pokemon204,pokemon109
607,pokemon240,pokemon221
608,pokemon310,pokemon245
609,pokemon168,pokemon194
610,pokemon282,pokemon47
611,pokemon83,pokemon64
612,pokemon336,pokemon225
613,pokemon190,pokemon177
614,pokemon234,pokemon118
615,pokemon224,pokemon304
616,pokemon215,pokemon223
617,pokemon169,pokemon163
618,pokemon366,pokemon269
619,pokemon345,pokemon352
620,pokemon74,pokemon245
621,pokemon356,pokemon293
622,pokemon352,pokemon318
623,pokemon187,pokemon33
624,pokemon322,pokemon153
625,pokemon74,pokemon23
626,pokemon67,pokemon161
627,pokemon304,pokemon196
628,pokemon220,pokemon104
629,pokemon145,pokemon96
630,pokemon170,pokemon16
631,pokemon8,pokemon351
632,pokemon226,pokemon262
633,pokemon41,pokemon252
634,pokemon228,pokemon254
635,pokemon340,pokemon252
636,pokemon328,pokemon118
637,pokemon124,pokemon81
638,pokemon24,pokemon265
639,pokemon124,pokemon347
640,pokemon14,pokemon158
641,pokemon338,pokemon36
642,pokemon355,pokemon15
643,pokemon162,pokemon255
644,pokemon225,pokemon12
645,pokemon211,pokemon270
646,pokemon298,pokemon228
647,pokemon82,pokemon138
648,pokemon155,pokemon113
649,pokemon281,pokemon209
650,pokemon224,pokemon100
651,pokemon286,pokemon219
652,pokemon322,pokemon190
653,pokemon221,pokemon361
654,pokemon295,pokemon324
655,pokemon325,pokemon270
656,pokemon264,pokemon79
657,pokemon268,pokemon176
658,pokemon303,pokemon243
659,pokemon168,pokemon205
660,pokemon197,pokemon350
661,pokemon40,pokemon75
662,pokemon116,pokemon245
663,pokemon173,pokemon206
664,pokemon109,pokemon129
665,pokemon237,pokemon160
666,pokemon183,pokemon261
667,pokemon220,pokemon319
668,pokemon332,pokemon205
669,pokemon332,pokemon24
670,pokemon282,pokemon217
671,pokemon284,pokemon118
672,pokemon362,pokemon55
673,pokemon206,pokemon334
674,pokemon174,pokemon39
675,pokemon57,pokemon350
676,pokemon346,pokemon219
677,pokemon13,pokemon166
678,pokemon201,pokemon193
679,pokemon79,pokemon199
680,pokemon356,pokemon163
681,pokemon204,pokemon221
682,pokemon261,pokemon286
683,pokemon181,pokemon194
684,pokemon263,pokemon320
685,pokemon327,pokemon6
686,pokemon263,pokemon168
687,pokemon240,pokemon345
688,pokemon143,pokemon3
689,pokemon232,pokemon210
690,pokemon329,pokemon147
691,pokemon248,pokemon128
692,pokemon350,pokemon339
693,pokemon318,pokemon32
694,pokemon219,pokemon294
695,pokemon42,pokemon318
696,pokemon247,pokemon4
697,pokemon287,pokemon140
698,pokemon164,pokemon367
699,pokemon170,pokemon149
700,pokemon109,pokemon73
701,pokemon3,pokemon69
702,pokemon16,pokemon179
703,pokemon14,pokemon200
704,pokemon250,pokemon251
705,pokemon243,pokemon43
706,pokemon99,pokemon136
707,pokemon213,pokemon296
708,pokemon206,pokemon161
709,pokemon290,pokemon258
710,pokemon137,pokemon224
711,pokemon325,pokemon14
712,pokemon295,pokemon289
713,pokemon160,pokemon334
714,pokemon351,pokemon83
715,pokemon302,pokemon22
716,pokemon94,pokemon7
717,pokemon258,pokemon243
718,pokemon23,pokemon14
719,pokemon173,pokemon202
720,pokemon334,pokemon64
721,pokemon270,pokemon79
722,pokemon121,pokemon170
723,pokemon264,pokemon137
724,pokemon74,pokemon170
725,pokemon35,pokemon138
726,pokemon40,pokemon193
727,pokemon130,pokemon333
728,pokemon231,pokemon133
729,pokemon112,pokemon153
730,pokemon357,pokemon275
731,pokemon40,pokemon361
732,pokemon149,pokemon363
733,pokemon312,pokemon134
734,pokemon41,pokemon12
735,pokemon36,pokemon14
736,pokemon126,pokemon7
737,pokemon365,pokemon43
738,pokemon98,pokemon146
739,pokemon321,pokemon6
740,pokemon233,pokemon98
741,pokemon258,pokemon199
742,pokemon243,pokemon322
743,pokemon148,pokemon289
744,pokemon101,pokemon236
745,pokemon93,pokemon221
746,pokemon158,pokemon238
747,pokemon262,pokemon357
748,pokemon353,pokemon306
749,pokemon303,pokemon161
750,pokemon181,pokemon141
751,pokemon43,pokemon327
752,pokemon322,pokemon35
753,pokemon31,pokemon77
754,pokemon13,pokemon262
755,pokemon258,pokemon108
756,pokemon65,pokemon121
757,pokemon73,pokemon15
758,pokemon112,pokemon293
759,pokemon296,pokemon354
760,pokemon192,pokemon252
761,pokemon151,pokemon313
762,pokemon3,pokemon281
763,pokemon365,pokemon298
764,pokemon240,pokemon163
765,pokemon314,pokemon262
766,pokemon180,pokemon84
767,pokemon38,pokemon35
768,pokemon2,pokemon201
769,pokemon231,pokemon316
770,pokemon335,pokemon106
771,pokemon230,pokemon352
772,pokemon193,pokemon54
773,pokemon223,pokemon269
774,pokemon7,pokemon29
775,pokemon171,pokemon61
776,pokemon304,pokemon29
777,pokemon167,pokemon75
778,pokemon339,pokemon64
779,pokemon252,pokemon296
780,pokemon334,pokemon153
781,pokemon281,pokemon283
782,pokemon11,pokemon290
783,pokemon240,pokemon245
784,pokemon265,pokemon269
785,pokemon31,pokemon135
786,pokemon64,pokemon291
787,pokemon9,pokemon46
788,pokemon320,pokemon224
789,pokemon265,pokemon337
790,pokemon11,pokemon192
791,pokemon2,pokemon362
792,pokemon46,pokemon261
793,pokemon134,pokemon57
794,pokemon259,pokemon335
795,pokemon254,pokemon177
796,pokemon151,pokemon267
797,pokemon10,pokemon173
798,pokemon338,pokemon160
799,pokemon105,pokemon194
800,pokemon66,pokemon160
801,pokemon184,pokemon204
802,pokemon180,pokemon22
803,pokemon363,pokemon366
804,pokemon102,pokemon127
805,pokemon7,pokemon325
806,pokemon226,pokemon61
807,pokemon191,pokemon270
808,pokemon79,pokemon284
809,pokemon246,pokemon140
810,pokemon137,pokemon305
811,pokemon54,pokemon44
812,pokemon201,pokemon243
813,pokemon235,pokemon177
814,pokemon13,pokemon177
815,pokemon300,pokemon48
816,pokemon288,pokemon205
817,pokemon72,pokemon45
818,pokemon160,pokemon123
819,pokemon316,pokemon153
820,pokemon64,pokemon113
821,pokemon134,pokemon315
822,pokemon201,pokemon24
823,pokemon320,pokemon53
824,pokemon135,pokemon77
825,pokemon201,pokemon206
826,pokemon199,pokemon133
827,pokemon322,pokemon12
828,pokemon258,pokemon142
829,pokemon156,pokemon211
830,pokemon349,pokemon265
831,pokemon319,pokemon360
832,pokemon237,pokemon331
833,pokemon266,pokemon302
834,pokemon333,pokemon16
835,pokemon75,pokemon16
836,pokemon28,pokemon86
837,pokemon285,pokemon93
838,pokemon179,pokemon32
839,pokemon45,pokemon141
840,pokemon276,pokemon44
841,pokemon351,pokemon46
842,pokemon202,pokemon201
843,pokemon305,pokemon221
844,pokemon250,pokemon38
845,pokemon286,pokemon155
846,pokemon98,pokemon63
847,pokemon8,pokemon324
848,pokemon14,pokemon260
849,pokemon218,pokemon258
850,pokemon359,pokemon347
851,pokemon30,pokemon228
852,pokemon90,pokemon198
853,pokemon328,pokemon168
854,pokemon219,pokemon329
855,pokemon333,pokemon76
856,pokemon219,pokemon151
857,pokemon193,pokemon244
858,pokemon195,pokemon354
859,pokemon103,pokemon157
860,pokemon300,pokemon79
861,pokemon10,pokemon42
862,pokemon228,pokemon212
863,pokemon94,pokemon60
864,pokemon292,pokemon42
865,pokemon322,pokemon170
866,pokemon203,pokemon171
867,pokemon154,pokemon186
868,pokemon295,pokemon33
869,pokemon214,pokemon355
870,pokemon195,pokemon187
871,pokemon214,pokemon229
872,pokemon14,pokemon89
873,pokemon244,pokemon172
874,pokemon310,pokemon170
875,pokemon214,pokemon330
876,pokemon59,pokemon210
877,pokemon251,pokemon64
878,pokemon30,pokemon264
879,pokemon227,pokemon92
880,pokemon143,pokemon186
881,pokemon57,pokemon87
882,pokemon210,pokemon313
883,pokemon77,pokemon166
884,pokemon43,pokemon43
885,pokemon28,pokemon235
886,pokemon52,pokemon259
887,pokemon16,pokemon276
888,pokemon303,pokemon328
